"ID";"X3.Forest_1985";"X5.Mangrove_1985";"X6.Floodable_Formation_1985";"X33.RiverLakeOcean_1985";"X41.OtherTemporaryPond_1985";"X12.Grassland_1985";"X29.RockyOutcrop_1985";"X15.Pasture_1985";"X24.UrbanArea_1985";"X25.OtherNonVegetable_1985";"X0.x";"X30.Mining_1985";"X4.Savanna_Fomation_1985";"X11.Wetland_1985";"X21.MosaicOfUse_1985";"X3.Forest_2000";"X5.Mangrove_2000";"X6.Floodable_Formation_2000";"X30.Mining_2000";"X33.RiverLakeOcean_2000";"X12.Grassland_2000";"X29.RockyOutcrop_2000";"X15.Pasture_2000";"X24.UrbanArea_2000";"X25.OtherNonVegetable_2000";"X41.OtherTemporaryPond_2000";"X4.Savanna_Fomation_2000";"X11.Wetland_2000";"X21.MosaicOfUse_2000";"X39.Soybean_2000";"X9.ForestPlantation_2000";"X0.y";"X3.Forest_2015";"X5.Mangrove_2015";"X6.Floodable_Formation_2015";"X30.Mining_2015";"X33.RiverLakeOcean_2015";"X11.Wetland_2015";"X12.Grassland_2015";"X29.RockyOutcrop_2015";"X0.x.x";"X15.Pasture_2015";"X24.UrbanArea_2015";"X25.OtherNonVegetable_2015";"X41.OtherTemporaryPond_2015";"X4.Savanna_Fomation_2015";"X21.MosaicOfUse_2015";"X39.Soybean_2015";"X9.ForestPlantation_2015";"X3.Forest_2024";"X5.Mangrove_2024";"X6.Floodable_Formation_2024";"X30.Mining_2024";"X32.Hypersaline_2024";"X33.RiverLakeOcean_2024";"X12.Grassland_2024";"X29.RockyOutcrop_2024";"X15.Pasture_2024";"X24.UrbanArea_2024";"X25.OtherNonVegetable_2024";"X39.Soybean_2024";"X4.Savanna_Fomation_2024";"X11.Wetland_2024";"X21.MosaicOfUse_2024";"X41.OtherTemporaryPond_2024";"X9.ForestPlantation_2024";"X0.y.y";"latitude";"longitude";"morfotipo"
"115";3486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3326;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;993;0;0;0;0;0;0;0;2411;0;0;82;0;0;0;0;0;0;"-3,5676";"-49,7338";"orange"
"116";2229;0;342;0;0;14;0;903;0;0;0;0;0;6;0;1829;0;422;0;0;0;0;1243;0;0;0;0;0;0;0;0;0;2085;0;467;0;0;0;0;0;0;942;0;0;0;0;0;0;0;2009;0;430;0;0;0;0;0;1055;0;0;0;0;0;0;0;0;0;"-3,2633";"-50,5242";"yellow"
"117";3361;0;122;0;0;0;0;0;0;0;0;0;0;0;0;3363;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3360;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3352;0;120;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;"-3,3309";"-50,3661";"yellow"
"118";3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-3,4549";"-50,4225";"yellow"
"119";3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-2,6575";"-49,5306";"orange"
"120";0;0;0;3465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3465;0;0;0;0;0;0;0;0;0;0;0;0;"-1,9092";"-51,3258";"orange"
"121";3386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-1,8469";"-51,4612";"orange"
"122";0;0;692;2692;0;0;0;0;0;0;0;0;0;0;0;0;0;703;0;2681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709;0;2675;0;0;0;0;0;0;0;0;0;0;0;0;2;0;678;0;0;2696;0;0;0;0;0;0;0;8;0;0;0;0;"-2,0688";"-51,4421";"light sky blue"
"123";1473;0;1995;0;0;0;0;0;0;0;0;0;0;0;0;1473;0;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1473;0;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1473;0;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-2,2257";"-52,1387";"orange"
"124";2821;0;654;0;0;0;0;0;0;0;0;0;0;0;0;2821;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2821;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2821;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-5,1912";"-56,7451";"orange"
